comment block with all or many attributes/fields infos is taken from Doto mod in C:\Program Files (x86)\Steam\steamapps\common\Sid Meier's Civilization IV Beyond the Sword\Beyond the Sword\Mods\Doto\Assets\modules_old\ExtraBonus\ExtraBonus_CIV4BuildingInfos.xml, i don't know if all applies to us but good to have this info so adding it to our file, and thanks too for it, serves as additional info to confirm our hypothesis/observation/external civ4 doc/wiki read website that areacleanpower (all cities power) is indeed clean not 0 unhealthy



BuildingInfos	 This begins and ends the file. Everything must go in between these two, or it will not work.
DomainProductionModifiers	This tag defines the production bonus given to units of a certain type. The DomainFreeExperience tag contains each unit type, DomainType declares whether the unit is a land, sea, or air unit, and iProductionModifier defines the percentage bonus given to unit construction for that type.
Flavors	Used by the AI to decide what buildings to build based on personality
FreeSpecialistCounts	This tag lists the free specialists given to a city by the particular building. The FreeSpecialistCount brackets the info for each specialist type (Spy, Engineer, Merchant, etc.), SpecialistType declares the individual specialist type, and iFreeSpecialistCount controls how many free specialists of that type are granted.
GlobalSeaPlotYieldChanges	Change in sea square yield for all cities, using the iYield integer tag.
HotKey	Essentially useless. This relies on the Boolean tags bAltDown, bCtrlDown, and bShiftDown.
ObsoleteSafeCommerceChanges	Additions to commerce outputs that aren't affected by other changes and the building going obsolete. Used primarily for culture per turn, this relies on the iCommerce integer tag.
PrereqBuildingClasses	This specifies the amount of certain building class needed to construct this city improvement. PrereqBuildingClass brackets the info for each building class, BuildingClassType declares the building type, and iNumBuildingNeeded states the number of that building type required.
ProductionTraits	This tag contains all the leader traits' production bonuses for the building. For example, Aggressive leaders receive a bonus when building a Barracks. ProductionTrait contains the info for each trait, ProductionTraitType defines the particular trait type, and iProductionTrait declares the percentage bonus to production.
ReligionChanges	Similar to HOLY_CITY_INFLUENCE in GlobalDefines.xml, sets the change in religious influence the city has, which is used when determining religion spread. ReligionChange contains the info for each religion, ReligionType indicates the particular religion affecting the building, and iReligionChange is an integer tag used to affect this building.
SeaPlotYieldChanges	This defines the change in sea squares' yield, using the iYield integer tag for food, hammers, and commerce output.
RiverPlotYieldChanges	This defines the change in river squares' yield, using the iYield integer tag for food, hammers, and commerce output.
SpecialistCounts	This list tag controls how many of each type of specialist this building allows (e.g. a Library allows only 2 Scientists). SpecialistCount contains the info for each specialist, SpecialistType declares the specialist type, and iSpecialistCount defines how many of that type are permitted.
SpecialistExtraCommerces	Bonus provided to specialists by the building, uses iCommerce tag (e.g. Sistine Chapel provides extra culture per turn to each specialist).
SpecialistYieldChanges	This controls the bonuses given to each specialist type by the building in question. SpecialistYieldChange contains all of the tags for each particular specialist: SpecialistType declares the type of specialist (Spy, Engineer, Merchant, etc.) and YieldChanges uses the iYield integer tag to modify Food, Hammers, and Gold per turn output.
StateReligionCommerces	Bonus provided by buildings of the state religion, uses iCommerce tag (again used by the Sistine Chapel to increase culture per turn output of religous buildings).
TechTypes	This tag lists all technologies that are required to allow construction. Note that you must have all of these techs beforehand (i.e. these are AND techs, not OR techs). The PrereqTech tag is used to bracket each individual prerequisite.
UnitCombatFreeExperiences	This controls experience point bonuses to units of a certain combat type (Siege, Mounted, Melee, etc.). UnitCombatFreeExperience groups the information for each unit type, and the iExperience integer tag describes how much free XP to give to that type.
YieldChanges	Defines the change in city yield, using iYield. There are three iYield tags: the first is for food per turn change, the second for hammers per turn, and the third for commerce per turn (e.g. the Palace provides 8 free commerce per turn).
YieldModifiers	Percentage change to the yields for the entire city (e.g. 25 is 25% increase), using the iYield tag. The first tag controls food per turn, the second hammers per turn, and the third commerce per turn. (e.g the Forge provides 25% more hammers per turn)
fVisibilityPriority	Used to give certain buildings priority when drawing them on the map. Most buildings have a value of 1.0, but the Aqueduct, for example, as a value of 10240000.0 in order to ensure that it is always drawn first.
