iGold,0,0,0,0,0,0,0,0,0
iHappyBonus,5,5,4,4,4,4,4,4,4
iHealthBonus,3,3,2,2,2,2,2,2,2
iInflationPercent,60,70,80,90,95,100,100,100,100
iMaxColonyMaintenance,200,200,200,200,200,200,200,200,200
iMaxNumCitiesMaintenance,4000,4000,5000,5000,6000,6000,7000,7000,8000
iNoTechTradeModifier,100,85,75,64,56,48,40,32,24
iNumCitiesMaintenancePercent,45,55,65,75,80,85,90,95,100
iResearchPercent,68,73,85,95,114,120,128,133,140
iSeaBarbarianBonus,,,,,,,,,0
iSeaBarbarianExtraMoves,,,,,,,,,0
iStartingDefenseUnits,3,3,2,2,1,1,1,1,1
iStartingExploreUnits,1,0,0,0,0,0,0,0,0
iStartingLocPercent,11,22,33,44,55,66,77,88,99
iStartingWorkerUnits,0,0,0,0,0,0,0,0,0
iTechTradeKnownModifier,-100,-50,-25,0,0,0,0,0,0
iTrainPercent,100,100,100,100,100,100,100,100,100
iUnitCostPercent,100,100,100,100,100,100,100,100,100
iUnownedTilesPerBarbarianCity,130,125,120,115,110,105,100,95,90
iUnownedTilesPerBarbarianUnit,64,61,58,55,52,49,46,43,40
iUnownedTilesPerGameAnimal,54,51,48,45,42,39,36,33,30
iUnownedWaterTilesPerBarbarianUnit,475,450,425,400,375,350,325,300,275
AIFreeTechs,AIFT_0,AIFT_1,AIFT_2,AIFT_3,AIFT_4,AIFT_5,AIFT_6,AIFT_7,AIFT_8
FreeTechs,FT_0,,,,,,,,
Goodies,G_0,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8




,[LEGEND],[LEGEND],[LEGEND],[LEGEND],[LEGEND],[LEGEND],[LEGEND],[LEGEND],[LEGEND]
,AIFT_0,AIFT_1,AIFT_2,AIFT_3,AIFT_4,AIFT_5,AIFT_6,AIFT_7,AIFT_8
,Pottery,Pottery,Pottery,Pottery,Pottery,Pottery,Pottery,Pottery,Pottery
,Bronze W.,Bronze W.,Bronze W.,Bronze W.,Bronze W.,Bronze W.,Bronze W.,Bronze W.,Bronze W.
,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency
,Compass,Compass,Compass,Compass,Compass,Compass,Compass,Compass,Compass
,Chemistry,Chemistry,Chemistry,Chemistry,Chemistry,Chemistry,Chemistry,Chemistry,Chemistry
,Laser,Laser,Laser,Laser,Laser,Laser,Laser,Laser,Laser
,-,-,-,Monarchy,Monarchy,Monarchy,Monarchy,Monarchy,Monarchy
,-,-,-,-,-,Drama,Drama,Drama,Drama
,-,-,-,-,-,Industr.,Industr.,Industr.,Industr.
,-,-,-,-,-,-,Fishing,Fishing,Fishing
,-,-,-,-,-,-,-,Animal H.,Animal H.
,-,-,-,-,-,-,-,-,Mysticism
,-,-,-,-,-,-,-,-,Optics
,-,-,-,-,-,-,-,-,Biology
,FT_0,-------,-------,-------,-------,-------,-------,-------,-------
,The Wheel,-,-,-,-,-,-,-,-
,Agriculture,-,-,-,-,-,-,-,-
,Hunting,-,-,-,-,-,-,-,-
,Mining,-,-,-,-,-,-,-,-
,Pottery,-,-,-,-,-,-,-,-
,Animal H.,-,-,-,-,-,-,-,-
,Bronze W.,-,-,-,-,-,-,-,-
,Iron W.,-,-,-,-,-,-,-,-
,G_0,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8
,High Gold,High Gold,High Gold,High Gold,High Gold,High Gold,-,-,-
,Low Gold,Low Gold,Low Gold,Low Gold,Low Gold,Low Gold,Low Gold,Low Gold,Low Gold
,Map,Map,Map,Map,Map,Map,Map,Map,Map
,Settler,Settler,-,-,-,-,-,-,-
,Warrior,Warrior,Warrior,Warrior,Warrior,Warrior,Warrior,Warrior,Warrior
,Scout,Scout,Scout,Scout,Scout,Scout,Scout,Scout,Scout
,Worker,Worker,Worker,-,-,-,-,-,-
,Exp.,Exp.,Exp.,Exp.,Exp.,Exp.,Exp.,Exp.,Exp.
,Healing,Healing,Healing,Healing,Healing,Healing,Healing,Healing,Healing
,Tech,Tech,Tech,Tech,Tech,Tech,Tech,Tech,Tech
,-,Barb. Weak,Barb. Weak,Barb. Weak,Barb. Weak,Barb. Weak,Barb. Weak,Barb. Weak,Barb. Weak
,-,-,Barb. Strong,Barb. Strong,Barb. Strong,Barb. Strong,Barb. Strong,Barb. Strong,Barb. Strong
