Field,Settler,Chieftain,Warlord,Noble,Prince,Monarch,Emperor,Immortal,Deity
iUnownedTilesPerBarbarianCity,160,150,140,130,120,110,100,90,80
iUnownedTilesPerBarbarianUnit,125,80,66,56,48,42,38,34,30
iUnownedTilesPerGameAnimal,85,70,62,52,50,44,40,36,32
iUnownedWaterTilesPerBarbarianUnit,750,600,550,500,450,400,350,300,250
GOODY_BARBARIANS_STRONG (*),0,0,1,1,1,1,2,3,4
GOODY_BARBARIANS_WEAK (*),0,1,1,2,3,4,3,3,3
GOODY_EXPERIENCE (*),1,1,1,2,2,2,1,1,1
GOODY_HEALING (*),1,1,1,1,1,1,1,1,1
GOODY_HIGH_GOLD (*),4,3,3,2,1,1,0,0,0
GOODY_LOW_GOLD (*),2,2,2,3,4,3,4,4,4
GOODY_MAP (*),1,1,2,2,2,2,2,2,1
GOODY_SCOUT (*),1,1,1,1,1,1,1,1,1
GOODY_SETTLER (*),1,1,0,0,0,0,0,0,0
GOODY_TECH (*),4,4,4,4,4,3,3,3,3
GOODY_WARRIOR (*),2,2,2,2,2,2,1,1,1
GOODY_WORKER (*),2,2,1,0,0,0,0,0,0
AIFreeTechs,,,,,,AIFT_0,AIFT_1,AIFT_2,AIFT_3
FreeTechs,FT_0,FT_1,FT_2,,,,,,




,[LEGEND],[LEGEND],[LEGEND],[LEGEND],[LEGEND],[LEGEND],[LEGEND],[LEGEND],[LEGEND]
,-------,-------,-------,-------,-------,AIFT_0,AIFT_1,AIFT_2,AIFT_3
,-,-,-,-,-,Archery,Archery,Archery,Archery
,-,-,-,-,-,Mathematics,Mathematics,Mathematics,Mathematics
,-,-,-,-,-,Machinery,Machinery,Machinery,Machinery
,-,-,-,-,-,Printing Press,Printing Press,Printing Press,Printing Press
,-,-,-,-,-,Steam Power,Steam Power,Steam Power,Steam Power
,-,-,-,-,-,Plastics,Plastics,Plastics,Plastics
,-,-,-,-,-,-,Hunting,Hunting,Hunting
,-,-,-,-,-,-,-,-,The Wheel
,-,-,-,-,-,-,-,-,Iron W.
,-,-,-,-,-,-,-,-,Feudalism
,-,-,-,-,-,-,-,-,Gunpowder
,-,-,-,-,-,-,-,-,Steel
,-,-,-,-,-,-,-,-,Refrigeration
,FT_0,FT_1,FT_2,-------,-------,-------,-------,-------,-------
,The Wheel,The Wheel,The Wheel,-,-,-,-,-,-
,Agriculture,Agriculture,-,-,-,-,-,-,-
,Mining,-,-,-,-,-,-,-,-
,Mathematics,Mathematics,-,-,-,-,-,-,-
,Alphabet,-,-,-,-,-,-,-,-
,Machinery,Machinery,-,-,-,-,-,-,-
,Feudalism,-,-,-,-,-,-,-,-
,Printing Press,Printing Press,-,-,-,-,-,-,-
,Gunpowder,-,-,-,-,-,-,-,-
,Steam Power,Steam Power,-,-,-,-,-,-,-
,Steel,-,-,-,-,-,-,-,-
,Plastics,Plastics,-,-,-,-,-,-,-
,Refrigeration,-,-,-,-,-,-,-,-
,,,,,,,,,,
[LEGEND],[LEGEND],[LEGEND],[LEGEND],[LEGEND],[LEGEND],[LEGEND],[LEGEND],[LEGEND],[LEGEND],"(*): This element is listed under the heading ""Goodies (20)"" in the XML file. It indicates the chance (x-in-20) of a ""goody hut"" yielding this result when ""popped"" by the player. (source: https://civilization.fandom.com/wiki/Difficulty_level_(Civ4)?utm_source=chatgpt.com)"
